district_name,season,crop_name,yield
Washim,kharif,sesamum,0.37
Yavatmal,kharif,sesamum,0.04
Ahmednagar,kharif,soyabean,0.57
Akola,kharif,soyabean,0.91
Amravati,kharif,soyabean,0.83
Aurangabad,kharif,soyabean,0.82
Beed,kharif,soyabean,0.78
Bhandara,kharif,soyabean,1.04
Buldhana,kharif,soyabean,1.35
Chandrapur,kharif,soyabean,0.88
Dhule,kharif,soyabean,0.77
Gadchiroli,kharif,soyabean,2.3
Hingoli,kharif,soyabean,1.98
Jalgaon,kharif,soyabean,0.55
Jalna,kharif,soyabean,1.71
Kolhapur,kharif,soyabean,2
Latur,kharif,soyabean,1.1
Nagpur,kharif,soyabean,1.67
Nanded,kharif,soyabean,1.36
Nandurbar,kharif,soyabean,1.46
Nashik,kharif,soyabean,1.01
Osmanabad,kharif,soyabean,1.21
Parbhani,kharif,soyabean,1.03
Pune,kharif,soyabean,0.81
Sangli,kharif,soyabean,0.86
Satara,kharif,soyabean,1.44
Solapur,kharif,soyabean,0.64
Wardha,kharif,soyabean,1.3
Washim,kharif,soyabean,1.09
Yavatmal,kharif,soyabean,0.82
Ahmednagar,kharif,sunflower,1.26
Akola,kharif,sunflower,0.42
Amravati,kharif,sunflower,0.33
Aurangabad,kharif,sunflower,0.35
Beed,kharif,sunflower,0.38
Bhandara,kharif,sunflower,0
Buldhana,kharif,sunflower,0.47
Dhule,kharif,sunflower,0.33
Hingoli,kharif,sunflower,0.5
Jalna,kharif,sunflower,0.27
Kolhapur,kharif,sunflower,0
Latur,kharif,sunflower,0.41
Nanded,kharif,sunflower,0.29
Nandurbar,kharif,sunflower,0.79
Nashik,kharif,sunflower,0.15
Osmanabad,kharif,sunflower,0.29
Parbhani,kharif,sunflower,0.11
Pune,kharif,sunflower,0.25
Sangli,kharif,sunflower,0.2
Satara,kharif,sunflower,0.48
Solapur,kharif,sunflower,0.35
Washim,kharif,sunflower,0
Ahmednagar,kharif,urad,0.22
Akola,kharif,urad,0.36
Amravati,kharif,urad,0.18
Aurangabad,kharif,urad,0.56
Beed,kharif,urad,0.22
Bhandara,kharif,urad,0.28
Buldhana,kharif,urad,0.67
Chandrapur,kharif,urad,0.34
Dhule,kharif,urad,0.39
Gadchiroli,kharif,urad,0.25
Gondia,kharif,urad,0.5
Hingoli,kharif,urad,0.67
Jalgaon,kharif,urad,0.62
Jalna,kharif,urad,0.8
Kolhapur,kharif,urad,0.84
Latur,kharif,urad,0.57
Nagpur,kharif,urad,0.45
Nanded,kharif,urad,0.67
Nandurbar,kharif,urad,0.5
Nashik,kharif,urad,0.5
Osmanabad,kharif,urad,0.32
Palghar,kharif,urad,0.37
Parbhani,kharif,urad,0.36
Pune,kharif,urad,0.65
Sangli,kharif,urad,0.32
Satara,kharif,urad,0.36
Sindhudurg,kharif,urad,0.5
Solapur,kharif,urad,0.36
Thane,kharif,urad,0.83
Wardha,kharif,urad,0.11
Washim,kharif,urad,0.47
Yavatmal,kharif,urad,0.36
Ahmednagar,rabi,wheat,2.1
Akola,rabi,wheat,1.29
Amravati,rabi,wheat,1.74
Aurangabad,rabi,wheat,2.11
Beed,rabi,wheat,1.29
Bhandara,rabi,wheat,1.21
Buldhana,rabi,wheat,1.86
Chandrapur,rabi,wheat,0.72
Dhule,rabi,wheat,2.47
Gadchiroli,rabi,wheat,0.72
Gondia,rabi,wheat,0.56
Hingoli,rabi,wheat,0.79
Jalgaon,rabi,wheat,2.47
Jalna,rabi,wheat,1.6
Kolhapur,rabi,wheat,2.35
Latur,rabi,wheat,0.65
Nagpur,rabi,wheat,1.41
Nanded,rabi,wheat,0.91
Nandurbar,rabi,wheat,2.85
Nashik,rabi,wheat,2.55
Osmanabad,rabi,wheat,0.56
Palghar,rabi,wheat,2.9
Parbhani,rabi,wheat,1.03
Pune,rabi,wheat,2.07
Sangli,rabi,wheat,1.71
Satara,rabi,wheat,1.97
Solapur,rabi,wheat,1.13
Wardha,rabi,wheat,1.38
Washim,rabi,wheat,1.31
Yavatmal,rabi,wheat,1.21
